stock,inpool_date,volume,inpool_price,toll_fees,outpool_date,outpool_price,margin
sh600585,2020-12-28,200,50.28,0,2020-12-29,51.23,190.0
sh600587,2020-12-28,1000,14.59,0,0,0.0,0.0
sh600600,2020-12-29,200,95.62,0,2020-12-30,99.67,810.0
sh600529,2020-12-30,300,49.51,0,0,0.0,0.0
sh600648,2020-12-31,1000,13.81,0,0,0.0,0.0
sh600030,2021-01-04,400,28.78,5,2021-01-06,29.89,439.0
sh600030,2021-01-04,200,28.78,0,0,0.0,0.0
sh600648,2021-01-05,1400,13.66,0,0,0.0,0.0
sh600547,2021-01-06,800,24.42,0,0,0.0,0.0
sh600648,2021-01-06,1400,13.66,0,0,0.0,0.0
sz300778,2021-01-06,700,26.12,0,0,0.0,0.0
sz002399,2021-01-06,1000,17.49,0,0,0.0,0.0
sz000729,2021-01-06,2000,8.42,0,0,0.0,0.0
sz002664,2021-01-06,1300,14.1,0,0,0.0,0.0
sh600230,2021-01-06,2000,9.17,0,0,0.0,0.0
sh600030,2021-01-04,600,28.78,0,0,0.0,0.0
sh600585,2021-01-07,300,53.88,23,2021-01-08,56.3,700
sz300778,2021-01-07,700,25.61,0,0,0.0,0.0
sh600211,2021-01-07,200,68.83,0,0,0.0,0.0
sz000729,2021-01-07,2400,8.07,0,0,0.0,0.0
sz002664,2021-01-07,1400,14.02,0,0,0.0,0.0
sh600655,2021-01-07,6000,13.02,0,0,0.0,0.0
sh600655,2021-01-08,2000,12.58,0,0,0.0,0.0
